,Eyes,ape_id,diff,listing_price,mean,rarity
0,High,ApeGang #4257,0.45717058491950213,0.95,1.3744682926829268,1.48
1,Sad,ApeGang #1385,-0.05844892727561979,0.75,0.8588487804878049,3.2199999999999998
2,Laser,ApeGang #4725,0.22039829223657537,0.749,1.137696,1.67
3,Cyclops,ApeGang #1333,-0.010464374430091405,0.666,0.9068333333333333,1.83
4,Round Glasses,ApeGang #9556,-0.15019163529965684,0.49,0.7671060724637678,3.4799999999999995
5,Eye Patch,ApeGang #1781,-0.08163411796555264,0.46,0.835663589797872,3.36
6,Bruised,ApeGang #9526,-0.1547707565439126,0.59,0.7625269512195121,3.45
7,Scar,ApeGang #7886,-0.0681083507277106,0.45,0.8491893570357141,3.47
8,Monocle,ApeGang #8272,0.07199394848657525,0.5,0.9892916562499999,3.4000000000000004
9,Gold Sunglasses,ApeGang #4199,-0.15464051016586355,0.49,0.7626571975975611,4.71
10,3D Glasses,ApeGang #747,-0.041015354822248384,0.65,0.8762823529411763,3.15
11,Black Sunglasses,ApeGang #176,-0.012379080312444057,0.6,0.9049186274509806,4.53
12,Squinting,ApeGang #8172,-0.07976720776342472,0.95,0.8375305,1.6
13,Hippie Glasses,ApeGang #5623,-0.1333677594886994,0.45,0.7839299482747253,3.4099999999999997
14,Heart,ApeGang #1616,0.004655669063241885,0.48,0.9219533768266666,3.3000000000000003
15,Closed,ApeGang #9634,-0.14553246525675811,0.8,0.7717652425066666,3.02
16,Devil,ApeGang #9155,0.04106408618529345,0.8,0.9583617939487181,1.63
17,Diving Mask,ApeGang #2492,-0.0866445827634248,0.65,0.8306531249999999,1.58
18,Blind,ApeGang #8258,0.18557895890324183,1.49,1.1028766666666665,1.44
19,Crazy,ApeGang #7964,-0.07852212636807587,0.47,0.8387755813953488,3.46
20,Robot Glasses,ApeGang #8685,0.023586551417130952,0.69,0.9408842591805556,2.4899999999999998
21,Albino,ApeGang #346,-0.014180163895003761,0.784,0.9031175438684209,1.7000000000000002
22,Alien,ApeGang #5384,-0.025868414902313397,0.88,0.8914292928611113,1.67
23,Robot,ApeGang #6005,-0.11752862367413908,0.54,0.7997690840892856,2.6599999999999997
24,Strabismus,ApeGang #604,-0.06684161020244916,0.6,0.8504560975609755,1.49
25,Rainbow Sunglasses,ApeGang #1464,0.22945229223657548,0.64,1.1467500000000002,1.76
