,mouth,mean,diff,rarity,ape_id,listing_price
0,Mustache,1.0295611940298506,0.1112548740189565,3.02,ApeGang #1340,0.69
1,Bubble Gum,0.8534633333333335,-0.06484298667756061,2.8000000000000003,ApeGang #1368,0.5
2,Shocked,0.7897176424755292,-0.12858867753536485,3.17,ApeGang #6494,0.54
3,Yawn,0.8866194805194805,-0.0316868394914136,3.29,ApeGang #1858,0.54
4,Baby Pacifier,0.908021564157895,-0.010284755852999039,3.37,ApeGang #5623,0.45
5,Tongue Out,0.8836101712728142,-0.03469614873807991,3.16,ApeGang #1616,0.48
6,Grin Gold,0.826904109589041,-0.09140221042185304,3.09,ApeGang #3044,0.5
7,Joint,0.9673577215189874,0.049051401508093284,3.25,ApeGang #2926,0.9
8,Beard,0.8012083333333333,-0.11709798667756077,3.09,ApeGang #2090,0.46
9,Grin Rainbow,0.8599654136679382,-0.058340906342955856,3.27,ApeGang #8272,0.5
10,Flames,1.077982314315253,0.15967599430435886,3.4099999999999997,ApeGang #3129,0.49
11,Drool Rainbow,0.8066058331680983,-0.11170048684279577,3.26,ApeGang #9556,0.49
12,Joker,0.965134,0.046827679989105975,1.71,ApeGang #5622,0.55
13,Cigarette,0.8191373134328358,-0.09916900657805827,3.2300000000000004,ApeGang #5138,0.5
14,Nose Ring,0.8855749006513982,-0.03273141935949586,3.18,ApeGang #8059,0.45
15,Smoke Pipe,0.878561627020613,-0.03974469299028105,3.11,ApeGang #5763,0.71
16,Snake,0.7597370729001641,-0.15856924711072995,3.3000000000000003,ApeGang #9544,0.55
17,Corn,0.8264697674418607,-0.09183655256903334,3.26,ApeGang #4479,0.66
18,Angry,0.9292892857141666,0.010982965703272507,3.09,ApeGang #7289,0.59
19,Covid Mask,0.7727121088159646,-0.14559421119492943,2.9000000000000004,ApeGang #7496,0.49
20,Grillz,0.9039673634838884,-0.014338956527005675,3.7800000000000002,ApeGang #703,0.575
21,Oh,0.8314333333333335,-0.0868729866775606,2.86,ApeGang #9978,0.46
